,id,object_name,chain,object_type,address,number,latitude,longitude,district
1475,21895,Папа Джонс,да,кафе,"город Москва, Алтуфьевское шоссе, дом 89",40,55.894969,37.585592,Лианозово
1476,67810,Сабвей,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 146",15,55.820834,37.642689,Алексеевский
1477,129980,СушиШоп,да,кафе,"город Москва, проспект Мира, дом 146",18,55.820834,37.642689,Алексеевский
1478,145193,Бахтриони,нет,ресторан,"город Москва, Луков переулок, дом 8",110,55.767909,37.634056,Красносельский
1479,153752,Пицца Хат,да,предприятие быстрого обслуживания,"город Москва, Хабаровская улица, дом 10/30",27,55.819909,37.828003,Гольяново
1480,27476,ГБОУ Школа № 1598,нет,столовая,"город Москва, Хабаровская улица, дом 8",230,55.818882,37.827706,Гольяново
1481,128803,Subway,да,предприятие быстрого обслуживания,"город Москва, Преображенская улица, дом 6",15,55.794993,37.708141,Преображенское
1482,151818,Суши Wok,да,кафе,"город Москва, Сокольническая площадь, дом 4, корпус 1-2",10,55.789922,37.677885,Сокольники
1483,23310,Rainbow Pub,нет,бар,"город Москва, Сокольническая площадь, дом 4, корпус 1-2",40,55.789922,37.677885,Сокольники
1484,24463,Парус,нет,кафе,"город Москва, Преображенская площадь, дом 6",33,55.794831,37.71115,Преображенское
1485,145765,Бургер Кинг,да,предприятие быстрого обслуживания,"город Москва, Преображенская площадь, дом 6",56,55.794831,37.71115,Преображенское
1486,157830,Jeffreys coffee,да,кафе,"город Москва, Ладожская улица, дом 8",30,55.771246,37.683033,Басманный
1487,85914,Кафе «Цинандали»,нет,кафе,"город Москва, Большая Андроньевская улица, дом 25/33",66,55.740081,37.672154,Таганский
1488,28901,СТОЛОВАЯ ПРИ ГОУ СОШ № 1904,нет,столовая,"город Москва, Люблинская улица, дом 157",160,55.655209,37.743947,Марьино
1489,26613,Милана,нет,ресторан,"город Москва, улица Авиаконструктора Миля, дом 8, корпус 1",40,55.684696,37.852913,Выхино-Жулебино
1490,146626,"Чай, кофе, выпечка",нет,кафетерий,"город Москва, улица Авиаконструктора Миля, дом 8, корпус 1",24,55.684696,37.852913,Выхино-Жулебино
1491,25349,Ресторан «Гранатовый сад»,нет,ресторан,"Поречная улица, дом 5/14, строение 1",40,55.644887,37.752957,Марьино
1492,115509,Ресторан Stories,нет,ресторан,"город Москва, Котельническая набережная, дом 1/15, корпус В",50,55.747946,37.643812,Таганский
